ticket_id,created_at,resolved_at,category,sub_issue,product,channel,status,sentiment,agent_id,resolution_time_mins,first_response_mins,csat_score,priority,resolution_type,escalated,repeat_contact,region,customer_tier,chatbot_handled
TKT-00011,2023-03-04 12:46:00,2023-03-04 15:40:00,Technical,Login not working,Router Plus,Chat,Resolved,Positive,Agent_016,174,13,2,High,Technical Fix Applied,No,No,Middle East,Standard,No
TKT-00012,2023-04-06 07:10:00,2023-04-06 10:39:00,Billing,Charged twice for order,Wireless Earbuds,Social Media,Resolved,Neutral,Agent_030,209,26,3,Low,Follow-up Scheduled,No,No,North America,Standard,No
TKT-00013,2023-02-28 01:37:00,2023-02-28 05:42:00,Product,Product defective,SmartWatch X,Chat,Resolved,Positive,Agent_016,245,11,5,Medium,Information Provided,No,Yes,North America,Standard,No
TKT-00014,2023-09-25 06:42:00,2023-09-25 12:49:00,Product,Warranty claim,Router Plus,Phone,Closed,Negative,Agent_001,367,9,3,Medium,Technical Fix Applied,Yes,No,Asia Pacific,Standard,Yes
TKT-00015,2023-09-08 11:18:00,2023-09-08 12:39:00,Technical,Performance issues,Laptop Pro,App,Resolved,Negative,Agent_009,81,20,4,Low,Technical Fix Applied,No,Yes,Asia Pacific,Premium,No
TKT-00016,2024-12-04 20:54:00,2024-12-04 23:10:00,Returns,Return label not received,SmartWatch X,Social Media,Closed,Positive,Agent_022,136,59,3,High,Order Replaced,No,No,Latin America,Standard,Yes
TKT-00017,2024-07-12 01:53:00,2024-07-12 05:03:00,Shipping,Order not arrived,Tablet S,Phone,Closed,Negative,Agent_003,190,9,3,High,Information Provided,No,No,Asia Pacific,Premium,No
TKT-00018,2024-09-27 23:09:00,2024-09-28 07:03:00,Complaint,Long wait times,Camera 4K,Email,Resolved,Negative,Agent_027,474,52,5,High,Information Provided,No,No,North America,Standard,Yes
TKT-00019,2023-08-16 06:52:00,2023-08-16 14:43:00,General Inquiry,Pricing inquiry,Phone Max,Email,Escalated,Neutral,Agent_018,471,51,4,High,Order Replaced,No,No,Middle East,Standard,Yes
TKT-00020,2023-07-02 18:16:00,,Account,Profile update error,Camera 4K,App,In Progress,Positive,Agent_037,,47,4,Low,Refund Issued,No,Yes,Middle East,Premium,No
TKT-00021,2024-01-08 13:04:00,2024-01-08 18:45:00,Returns,Return label not received,Tablet S,App,Resolved,Neutral,Agent_026,341,43,4,Medium,Escalated to Tier 2,No,No,Latin America,Premium,No
TKT-00022,2024-02-20 17:53:00,2024-02-20 17:54:00,Account,Subscription management,Smart TV,Social Media,Resolved,Negative,Agent_033,1,51,3,Medium,Escalated to Tier 2,No,No,Middle East,Standard,No
TKT-00023,2024-11-19 09:14:00,2024-11-19 16:07:00,Returns,Return window expired,SmartWatch X,Social Media,Resolved,Neutral,Agent_013,413,16,1,High,No Action Needed,No,No,North America,Premium,No
TKT-00024,2024-03-11 07:11:00,2024-03-11 14:03:00,Technical,Performance issues,Phone Max,Email,Pending,Negative,Agent_043,412,4,4,Medium,Account Updated,No,No,Middle East,Premium,No
TKT-00025,2024-07-15 14:57:00,2024-07-15 16:19:00,Complaint,Long wait times,Tablet S,App,Pending,Positive,Agent_029,82,17,4,Low,Order Replaced,No,No,Middle East,Standard,Yes
TKT-00026,2024-12-11 04:45:00,,Complaint,Repeated issues unresolved,Camera 4K,Email,Resolved,Neutral,Agent_050,,35,4,Medium,Refund Issued,No,No,Latin America,Standard,No
TKT-00027,2024-02-04 13:34:00,2024-02-04 19:57:00,Account,Account locked,Router Plus,Chat,Resolved,Neutral,Agent_025,383,58,5,Medium,No Action Needed,No,No,Europe,Enterprise,No
TKT-00028,2024-08-29 18:42:00,,Complaint,Repeated issues unresolved,Wireless Earbuds,Email,Resolved,Neutral,Agent_030,,56,4,Medium,No Action Needed,No,No,Latin America,Standard,Yes
TKT-00029,2024-07-06 01:22:00,2024-07-06 03:17:00,Billing,Charged twice for order,Laptop Pro,Chat,Resolved,Positive,Agent_010,115,42,5,Low,Follow-up Scheduled,No,No,Europe,Standard,Yes
TKT-00030,2023-06-21 19:38:00,2023-06-22 02:01:00,Product,Warranty claim,SmartWatch X,App,Resolved,Neutral,Agent_044,383,11,5,Critical,No Action Needed,No,No,North America,Standard,No
TKT-00031,2023-04-15 22:49:00,2023-04-16 01:24:00,Returns,Exchange requested,Laptop Pro,Phone,Pending,Negative,Agent_005,155,8,4,Medium,Account Updated,Yes,No,Latin America,Standard,No
TKT-00032,2024-12-25 04:27:00,2024-12-25 05:58:00,General Inquiry,Feature request,Router Plus,Social Media,Resolved,Negative,Agent_018,91,18,5,Medium,Information Provided,No,Yes,Latin America,Standard,No
TKT-00033,2023-12-11 00:31:00,2023-12-11 07:47:00,Complaint,Rude agent interaction,Smart TV,Phone,Closed,Negative,Agent_018,436,23,4,Medium,Information Provided,Yes,No,Latin America,Standard,Yes
TKT-00034,2024-10-23 22:31:00,2024-10-24 02:21:00,General Inquiry,Compatibility question,Phone Max,Phone,Escalated,Neutral,Agent_036,230,15,2,Medium,No Action Needed,No,No,Asia Pacific,Premium,Yes
TKT-00035,2023-08-25 03:46:00,2023-08-25 05:25:00,Account,Account locked,Phone Max,Chat,Escalated,Positive,Agent_038,99,49,5,Critical,Order Replaced,No,No,Asia Pacific,Standard,Yes
TKT-00036,2024-12-26 17:08:00,,Billing,Subscription not cancelled,Router Plus,Email,Closed,Neutral,Agent_031,,19,2,Medium,Account Updated,No,Yes,Latin America,Standard,Yes
TKT-00037,2023-03-17 18:40:00,,General Inquiry,Store hours,SmartWatch X,Chat,Resolved,Negative,Agent_039,,37,3,Medium,Information Provided,No,No,Latin America,Standard,No
TKT-00038,2023-11-09 18:39:00,2023-11-09 19:10:00,Complaint,Long wait times,Phone Max,Phone,Escalated,Positive,Agent_012,31,49,5,Medium,Escalated to Tier 2,Yes,No,Middle East,Standard,Yes
TKT-00039,2024-12-24 09:44:00,2024-12-24 17:05:00,Account,Profile update error,Phone Max,Social Media,Resolved,Positive,Agent_010,441,60,5,Critical,Escalated to Tier 2,Yes,Yes,Asia Pacific,Standard,No
TKT-00040,2024-03-25 03:29:00,2024-03-25 09:22:00,Account,Subscription management,Router Plus,Social Media,Resolved,Positive,Agent_028,353,18,4,High,Order Replaced,Yes,No,Middle East,Standard,Yes
TKT-00041,2024-08-13 01:48:00,2024-08-13 08:16:00,Account,Profile update error,Wireless Earbuds,App,Resolved,Negative,Agent_006,388,29,4,Medium,No Action Needed,No,No,Europe,Standard,No
TKT-00042,2024-11-09 12:52:00,2024-11-09 19:22:00,Account,Profile update error,Smart TV,Email,In Progress,Neutral,Agent_033,390,21,4,High,Refund Issued,No,No,Latin America,Standard,No
TKT-00043,2024-10-02 14:48:00,2024-10-02 15:15:00,General Inquiry,Store hours,Router Plus,Social Media,Resolved,Negative,Agent_039,27,60,4,High,Escalated to Tier 2,No,Yes,Latin America,Standard,No
TKT-00044,2024-04-17 03:41:00,2024-04-17 10:48:00,Technical,Performance issues,Tablet S,Social Media,Closed,Negative,Agent_016,427,19,5,Medium,Escalated to Tier 2,No,No,Middle East,Premium,Yes
TKT-00045,2023-10-10 13:21:00,2023-10-10 21:20:00,Technical,Device not connecting,Tablet S,App,Pending,Negative,Agent_010,479,1,3,Medium,Follow-up Scheduled,No,No,Middle East,Standard,No
TKT-00046,2024-12-15 07:36:00,2024-12-15 10:53:00,Returns,Item not eligible for return,Router Plus,Social Media,Resolved,Negative,Agent_042,197,3,5,Critical,Follow-up Scheduled,No,Yes,Middle East,Standard,Yes
TKT-00047,2023-04-13 16:58:00,,General Inquiry,Pricing inquiry,SmartWatch X,Social Media,Closed,Positive,Agent_040,,56,3,Medium,Technical Fix Applied,No,No,Middle East,Standard,Yes
TKT-00048,2024-07-08 01:39:00,2024-07-08 02:15:00,General Inquiry,Pricing inquiry,SmartWatch X,Social Media,In Progress,Negative,Agent_046,36,19,5,High,Follow-up Scheduled,No,No,North America,Standard,No
TKT-00049,2024-01-03 11:27:00,2024-01-03 12:42:00,Account,Account locked,Wireless Earbuds,Chat,Resolved,Negative,Agent_040,75,44,4,Medium,Follow-up Scheduled,No,Yes,Latin America,Premium,No
TKT-00050,2024-04-21 09:43:00,2024-04-21 14:23:00,Billing,Promo code not applied,Tablet S,Social Media,Escalated,Neutral,Agent_020,280,23,4,Low,No Action Needed,No,Yes,Latin America,Standard,No
TKT-00051,2023-01-23 21:25:00,,Account,Password reset issue,Router Plus,Phone,Closed,Positive,Agent_023,,50,5,Low,Information Provided,No,No,Europe,Premium,No
TKT-00052,2023-11-13 14:02:00,2023-11-13 18:59:00,Billing,Wrong amount billed,Smart TV,Social Media,Resolved,Positive,Agent_035,297,59,3,High,Account Updated,No,No,Europe,Standard,No
TKT-00053,2023-10-30 23:55:00,2023-10-31 02:49:00,General Inquiry,Pricing inquiry,Phone Max,Social Media,In Progress,Negative,Agent_024,174,5,4,Low,No Action Needed,Yes,No,Latin America,Standard,No
TKT-00054,2024-08-21 12:52:00,2024-08-21 18:19:00,Account,Two-factor auth problem,Laptop Pro,App,Closed,Neutral,Agent_040,327,15,2,Low,Technical Fix Applied,No,No,Asia Pacific,Premium,Yes
TKT-00055,2023-02-08 09:31:00,,Billing,Refund not received,Router Plus,Phone,Escalated,Negative,Agent_035,,9,5,Medium,Escalated to Tier 2,No,No,Latin America,Premium,No
TKT-00056,2023-02-03 22:23:00,2023-02-04 00:15:00,Account,Profile update error,SmartWatch X,Phone,Pending,Negative,Agent_023,112,55,5,Low,Order Replaced,No,Yes,Latin America,Standard,Yes
TKT-00057,2023-02-21 10:15:00,2023-02-21 11:20:00,Billing,Promo code not applied,Phone Max,App,Resolved,Negative,Agent_022,65,54,3,High,Refund Issued,No,No,Europe,Standard,No
TKT-00058,2024-11-07 00:08:00,2024-11-07 00:16:00,Technical,Device not connecting,Laptop Pro,Chat,Resolved,Positive,Agent_027,8,38,5,Medium,Technical Fix Applied,No,No,Middle East,Standard,No
TKT-00059,2024-09-21 01:46:00,2024-09-21 08:28:00,Returns,Return window expired,Laptop Pro,Email,In Progress,Negative,Agent_028,402,20,5,Medium,Follow-up Scheduled,No,No,North America,Standard,Yes
TKT-00060,2023-10-09 19:40:00,2023-10-10 00:40:00,Shipping,Delivery delayed,Tablet S,Social Media,Pending,Neutral,Agent_045,300,39,4,Low,Information Provided,No,No,Latin America,Standard,No
TKT-00061,2023-04-08 10:27:00,2023-04-08 13:08:00,Complaint,Repeated issues unresolved,SmartWatch X,Email,Closed,Positive,Agent_007,161,10,4,High,Account Updated,No,No,Middle East,Enterprise,No
TKT-00062,2024-02-25 11:55:00,2024-02-25 17:36:00,Technical,App keeps crashing,Tablet S,App,Resolved,Positive,Agent_033,341,59,4,Low,Follow-up Scheduled,No,Yes,Middle East,Standard,No
TKT-00063,2024-03-15 17:49:00,2024-03-16 00:49:00,Returns,Return label not received,Tablet S,Email,Resolved,Negative,Agent_020,420,36,5,Critical,Account Updated,Yes,No,Middle East,Premium,Yes
TKT-00064,2023-04-04 23:33:00,2023-04-05 01:24:00,Billing,Wrong amount billed,Tablet S,Phone,Closed,Neutral,Agent_006,111,11,4,High,Escalated to Tier 2,No,No,North America,Standard,No
TKT-00065,2024-09-13 14:26:00,2024-09-13 16:46:00,General Inquiry,Compatibility question,SmartWatch X,Phone,Escalated,Neutral,Agent_034,140,23,4,Medium,Refund Issued,No,No,North America,Standard,Yes
TKT-00066,2023-05-21 08:18:00,,Returns,Refund not processed,Wireless Earbuds,Social Media,Pending,Positive,Agent_036,,28,4,High,Account Updated,Yes,No,North America,Standard,No
TKT-00067,2023-11-17 18:27:00,2023-11-17 23:21:00,Technical,App keeps crashing,Camera 4K,Email,In Progress,Positive,Agent_040,294,19,5,Medium,Account Updated,Yes,No,Europe,Standard,No
TKT-00068,2024-02-10 09:47:00,2024-02-10 12:41:00,Technical,Performance issues,SmartWatch X,App,Pending,Negative,Agent_023,174,5,5,Medium,Escalated to Tier 2,No,Yes,Europe,Standard,Yes
TKT-00069,2023-07-01 20:31:00,2023-07-02 00:29:00,Technical,Performance issues,Smart TV,Phone,Resolved,Positive,Agent_029,238,29,5,Medium,Order Replaced,No,No,North America,Standard,No
TKT-00070,2024-01-13 09:04:00,2024-01-13 14:35:00,Billing,Promo code not applied,Camera 4K,Social Media,Pending,Negative,Agent_048,331,40,5,High,Follow-up Scheduled,No,No,Europe,Standard,No
TKT-00071,2023-03-05 14:06:00,2023-03-05 21:02:00,Shipping,Order not arrived,Wireless Earbuds,Email,Resolved,Neutral,Agent_029,416,46,4,Medium,Escalated to Tier 2,No,No,Latin America,Standard,Yes
TKT-00072,2024-10-08 20:21:00,2024-10-08 20:55:00,Billing,Wrong amount billed,Tablet S,App,Closed,Neutral,Agent_038,34,25,4,Medium,Account Updated,No,No,Latin America,Standard,No
TKT-00073,2023-11-14 17:24:00,2023-11-14 22:54:00,Technical,Performance issues,SmartWatch X,Social Media,Pending,Positive,Agent_020,330,43,5,Low,Information Provided,No,No,Europe,Standard,Yes
TKT-00074,2023-10-30 03:32:00,2023-10-30 10:07:00,Technical,App keeps crashing,Smart TV,App,Resolved,Neutral,Agent_011,395,34,5,Low,Escalated to Tier 2,No,Yes,Asia Pacific,Premium,Yes
TKT-00075,2024-09-17 09:48:00,2024-09-17 16:12:00,General Inquiry,Store hours,Router Plus,Chat,Resolved,Negative,Agent_029,384,16,3,Medium,Order Replaced,No,No,Latin America,Enterprise,No
TKT-00076,2023-09-14 01:41:00,2023-09-14 05:48:00,Shipping,Delivery delayed,SmartWatch X,Phone,Resolved,Positive,Agent_029,247,7,4,Critical,Escalated to Tier 2,No,Yes,Europe,Premium,No
TKT-00077,2024-02-29 01:25:00,2024-02-29 05:43:00,Billing,Wrong amount billed,Phone Max,Email,Resolved,Positive,Agent_046,258,6,4,Medium,Escalated to Tier 2,Yes,No,Latin America,Premium,Yes
TKT-00078,2024-04-04 19:00:00,,General Inquiry,Pricing inquiry,Camera 4K,Email,Closed,Positive,Agent_008,,54,3,Low,No Action Needed,No,No,North America,Standard,No
TKT-00079,2024-10-09 16:36:00,2024-10-09 18:40:00,Billing,Promo code not applied,Smart TV,Chat,Pending,Positive,Agent_043,124,1,4,Low,Account Updated,Yes,No,Middle East,Premium,No
TKT-00080,2024-02-04 15:02:00,2024-02-04 20:28:00,Billing,Charged twice for order,Smart TV,Email,Resolved,Negative,Agent_041,326,48,4,Low,Account Updated,Yes,No,Asia Pacific,Premium,Yes
TKT-00081,2024-12-13 15:40:00,2024-12-13 17:14:00,General Inquiry,Compatibility question,Laptop Pro,Phone,Resolved,Negative,Agent_003,94,50,2,Medium,Order Replaced,No,No,Middle East,Standard,Yes
TKT-00082,2023-10-20 11:55:00,,Returns,Return label not received,Smart TV,Social Media,Closed,Negative,Agent_025,,18,5,Medium,Escalated to Tier 2,No,No,Middle East,Standard,Yes
TKT-00083,2023-03-22 13:38:00,2023-03-22 20:40:00,Complaint,Poor service experience,Smart TV,Phone,Resolved,Neutral,Agent_028,422,7,4,Low,Follow-up Scheduled,No,Yes,Asia Pacific,Premium,No
TKT-00084,2023-03-18 21:40:00,2023-03-19 01:08:00,Billing,Subscription not cancelled,Laptop Pro,Chat,Closed,Negative,Agent_029,208,44,5,Low,Technical Fix Applied,No,No,Asia Pacific,Standard,No
TKT-00085,2024-11-26 14:23:00,2024-11-26 17:34:00,Shipping,Delivery delayed,Smart TV,Social Media,Resolved,Positive,Agent_008,191,9,2,Low,Escalated to Tier 2,No,No,Middle East,Standard,No
TKT-00086,2023-08-08 19:18:00,2023-08-09 01:14:00,General Inquiry,Pricing inquiry,SmartWatch X,Social Media,Resolved,Negative,Agent_006,356,8,4,High,Account Updated,No,No,Middle East,Standard,No
TKT-00087,2024-12-29 22:59:00,2024-12-30 04:58:00,Shipping,Wrong item delivered,SmartWatch X,Chat,Closed,Positive,Agent_032,359,33,5,Low,Account Updated,No,No,Europe,Premium,Yes
TKT-00088,2024-02-12 22:46:00,2024-02-13 02:52:00,Account,Subscription management,SmartWatch X,Chat,In Progress,Neutral,Agent_029,246,53,5,Medium,Account Updated,Yes,No,Middle East,Premium,Yes
TKT-00089,2024-03-19 16:58:00,,Shipping,Package damaged,Wireless Earbuds,Chat,Resolved,Negative,Agent_023,,10,2,Critical,Order Replaced,No,No,Middle East,Standard,No
TKT-00090,2024-05-29 20:10:00,2024-05-30 01:14:00,Technical,Performance issues,Smart TV,App,Resolved,Negative,Agent_006,304,43,3,Low,Order Replaced,No,No,Latin America,Premium,Yes
TKT-00091,2024-10-19 09:30:00,2024-10-19 11:36:00,Account,Two-factor auth problem,SmartWatch X,Email,Resolved,Neutral,Agent_030,126,20,5,Low,Escalated to Tier 2,No,No,Asia Pacific,Enterprise,Yes
TKT-00092,2024-06-11 17:06:00,2024-06-11 19:50:00,Product,Missing parts,Wireless Earbuds,Email,Resolved,Negative,Agent_040,164,29,2,Medium,Escalated to Tier 2,No,No,Asia Pacific,Standard,Yes
TKT-00093,2024-05-25 09:31:00,,General Inquiry,Pricing inquiry,Phone Max,App,Resolved,Positive,Agent_032,,30,4,Medium,Follow-up Scheduled,No,Yes,North America,Standard,No
TKT-00094,2024-02-17 11:02:00,,Product,Setup assistance needed,Tablet S,Email,Resolved,Neutral,Agent_036,,24,4,Low,Technical Fix Applied,Yes,Yes,Asia Pacific,Premium,Yes
TKT-00095,2023-05-28 06:38:00,2023-05-28 10:59:00,Product,Missing parts,Smart TV,Social Media,Pending,Positive,Agent_033,261,3,1,Low,Account Updated,No,No,Asia Pacific,Standard,No
TKT-00096,2024-12-26 18:19:00,2024-12-26 22:23:00,General Inquiry,Product availability,Camera 4K,App,Resolved,Negative,Agent_045,244,44,4,Medium,Follow-up Scheduled,No,No,Middle East,Standard,No
TKT-00097,2023-06-24 16:40:00,2023-06-24 22:50:00,General Inquiry,Pricing inquiry,Laptop Pro,App,Closed,Positive,Agent_002,370,10,5,Medium,No Action Needed,No,No,Latin America,Standard,No
TKT-00098,2023-03-05 22:08:00,2023-03-06 02:34:00,General Inquiry,Compatibility question,Camera 4K,Phone,In Progress,Neutral,Agent_035,266,43,4,Medium,Account Updated,No,No,Asia Pacific,Premium,Yes
TKT-00099,2023-10-13 17:19:00,2023-10-13 19:15:00,Returns,Item not eligible for return,Phone Max,Social Media,Resolved,Neutral,Agent_047,116,50,5,Low,Technical Fix Applied,No,No,Latin America,Premium,No
TKT-00100,2023-10-25 01:18:00,,Shipping,Package damaged,Router Plus,Chat,Resolved,Neutral,Agent_036,,42,5,Medium,Escalated to Tier 2,Yes,No,Europe,Standard,No
TKT-00101,2024-10-15 07:03:00,2024-10-15 07:55:00,Returns,Refund not processed,Laptop Pro,App,In Progress,Positive,Agent_042,52,7,5,Critical,Follow-up Scheduled,No,Yes,Asia Pacific,Standard,No
TKT-00102,2024-10-29 18:14:00,2024-10-29 22:48:00,Technical,Login not working,Camera 4K,Chat,Closed,Positive,Agent_026,274,3,5,High,Escalated to Tier 2,No,No,Asia Pacific,Premium,Yes
TKT-00103,2023-12-10 09:29:00,2023-12-10 14:58:00,Technical,Performance issues,Router Plus,Phone,Resolved,Positive,Agent_011,329,9,4,High,Order Replaced,No,Yes,Asia Pacific,Premium,No
TKT-00104,2023-06-29 19:54:00,2023-06-30 01:22:00,Returns,Item not eligible for return,SmartWatch X,Social Media,Escalated,Positive,Agent_009,328,33,5,Medium,Information Provided,Yes,No,Latin America,Premium,No
TKT-00105,2024-08-19 23:36:00,2024-08-19 23:42:00,Account,Password reset issue,SmartWatch X,Social Media,Resolved,Neutral,Agent_033,6,16,4,Critical,Order Replaced,No,No,Asia Pacific,Standard,Yes
TKT-00106,2024-05-04 04:29:00,2024-05-04 10:52:00,Shipping,Delivery delayed,Router Plus,App,Closed,Negative,Agent_049,383,45,4,Low,Technical Fix Applied,No,No,Asia Pacific,Standard,No
TKT-00107,2024-07-14 16:12:00,2024-07-14 21:06:00,Billing,Promo code not applied,Router Plus,Email,Escalated,Negative,Agent_032,294,55,3,Low,Follow-up Scheduled,No,No,Middle East,Standard,No
TKT-00108,2024-11-19 09:46:00,2024-11-19 09:58:00,General Inquiry,Pricing inquiry,SmartWatch X,Email,Resolved,Negative,Agent_035,12,48,5,Critical,Technical Fix Applied,No,No,Asia Pacific,Standard,No
TKT-00109,2024-01-19 12:28:00,2024-01-19 19:54:00,Complaint,Misleading information given,Wireless Earbuds,Phone,Resolved,Negative,Agent_026,446,6,4,Medium,Information Provided,No,No,Asia Pacific,Standard,No
TKT-00110,2024-06-28 12:52:00,2024-06-28 14:50:00,Complaint,Long wait times,SmartWatch X,Email,Closed,Neutral,Agent_050,118,18,4,Critical,Refund Issued,No,Yes,Middle East,Standard,No
TKT-00111,2023-09-08 23:02:00,2023-09-09 02:28:00,Billing,Charged twice for order,Wireless Earbuds,App,In Progress,Positive,Agent_047,206,49,4,Medium,Account Updated,No,No,Middle East,Standard,Yes
TKT-00112,2024-07-24 18:56:00,2024-07-25 01:13:00,Billing,Promo code not applied,Router Plus,Email,In Progress,Negative,Agent_043,377,28,4,Medium,Account Updated,No,No,Asia Pacific,Standard,No
TKT-00113,2023-09-04 07:19:00,2023-09-04 14:39:00,General Inquiry,Product availability,Camera 4K,Social Media,Pending,Positive,Agent_016,440,59,5,Low,Account Updated,No,No,Asia Pacific,Standard,No
TKT-00114,2023-02-22 08:24:00,2023-02-22 14:09:00,Returns,Refund not processed,Phone Max,Social Media,Resolved,Negative,Agent_020,345,5,1,Critical,Refund Issued,No,Yes,North America,Premium,No
TKT-00115,2024-12-13 19:45:00,2024-12-13 21:30:00,Returns,Item not eligible for return,Camera 4K,Social Media,Pending,Neutral,Agent_017,105,21,3,Medium,Follow-up Scheduled,No,No,Latin America,Premium,Yes
TKT-00116,2024-01-15 10:26:00,2024-01-15 10:50:00,Returns,Return label not received,Tablet S,App,Closed,Neutral,Agent_027,24,10,3,Low,Information Provided,No,No,Europe,Standard,No
TKT-00117,2023-09-21 15:46:00,2023-09-21 21:15:00,Product,Warranty claim,Wireless Earbuds,Chat,Escalated,Neutral,Agent_035,329,47,4,Critical,Refund Issued,No,No,North America,Enterprise,No
TKT-00118,2024-02-27 04:53:00,2024-02-27 10:16:00,Billing,Subscription not cancelled,Router Plus,Phone,Resolved,Neutral,Agent_040,323,1,5,Critical,Follow-up Scheduled,Yes,No,Latin America,Standard,No
TKT-00119,2024-07-02 09:01:00,2024-07-02 13:19:00,Account,Account locked,SmartWatch X,Email,Pending,Positive,Agent_040,258,52,5,Medium,Account Updated,No,No,Asia Pacific,Enterprise,No
TKT-00120,2024-12-14 07:19:00,2024-12-14 13:10:00,Returns,Return label not received,SmartWatch X,Social Media,Resolved,Neutral,Agent_004,351,55,2,Medium,Escalated to Tier 2,Yes,No,Asia Pacific,Standard,No
TKT-00121,2024-06-24 01:14:00,2024-06-24 03:03:00,Technical,Software update failed,Tablet S,Email,Closed,Negative,Agent_018,109,37,5,High,Refund Issued,No,No,North America,Enterprise,No
TKT-00122,2023-03-20 09:10:00,2023-03-20 13:59:00,Complaint,Misleading information given,Smart TV,Social Media,Closed,Positive,Agent_045,289,25,5,High,Account Updated,Yes,No,North America,Standard,No
TKT-00123,2023-12-01 00:40:00,2023-12-01 03:00:00,Complaint,Rude agent interaction,Camera 4K,Social Media,Resolved,Neutral,Agent_025,140,15,4,Low,Order Replaced,No,No,North America,Standard,Yes
TKT-00124,2024-02-03 10:23:00,,Shipping,Package damaged,Tablet S,Email,Resolved,Positive,Agent_029,,29,5,Medium,No Action Needed,Yes,Yes,Middle East,Standard,No
TKT-00125,2024-01-30 00:18:00,2024-01-30 03:50:00,Product,Setup assistance needed,Phone Max,App,Pending,Negative,Agent_011,212,58,2,Low,Order Replaced,No,Yes,Europe,Standard,No
TKT-00126,2023-03-20 11:16:00,2023-03-20 13:23:00,General Inquiry,Pricing inquiry,Router Plus,Email,Resolved,Positive,Agent_026,127,40,4,Medium,No Action Needed,No,No,Asia Pacific,Standard,No
TKT-00127,2023-11-04 10:38:00,2023-11-04 16:34:00,Shipping,Package damaged,Tablet S,Social Media,In Progress,Negative,Agent_021,356,26,4,Medium,No Action Needed,No,No,Europe,Standard,No
TKT-00128,2024-04-17 22:13:00,2024-04-18 01:58:00,Billing,Refund not received,Router Plus,Chat,Pending,Positive,Agent_043,225,5,5,Low,No Action Needed,No,Yes,Middle East,Standard,No
TKT-00129,2024-07-10 01:50:00,2024-07-10 04:55:00,Complaint,Poor service experience,SmartWatch X,Chat,Escalated,Neutral,Agent_042,185,39,5,Medium,No Action Needed,No,No,Latin America,Standard,Yes
TKT-00130,2024-06-06 23:33:00,2024-06-07 04:19:00,Returns,Item not eligible for return,Camera 4K,Social Media,Closed,Neutral,Agent_033,286,29,4,Low,Refund Issued,No,No,North America,Standard,No
TKT-00131,2023-12-23 09:21:00,2023-12-23 13:15:00,Shipping,Tracking not updating,SmartWatch X,Social Media,Escalated,Neutral,Agent_005,234,23,4,Medium,Technical Fix Applied,Yes,No,North America,Premium,Yes
TKT-00132,2024-06-12 05:35:00,2024-06-12 06:57:00,Returns,Refund not processed,Camera 4K,Chat,Resolved,Negative,Agent_026,82,30,4,Low,Information Provided,No,No,North America,Premium,Yes
TKT-00133,2024-08-14 03:51:00,2024-08-14 11:18:00,Technical,Software update failed,SmartWatch X,Phone,Escalated,Neutral,Agent_041,447,13,4,Medium,No Action Needed,No,No,Asia Pacific,Standard,No
TKT-00134,2024-11-20 22:51:00,2024-11-21 01:24:00,Shipping,Wrong item delivered,Smart TV,Email,Resolved,Positive,Agent_024,153,44,4,Medium,No Action Needed,No,Yes,Latin America,Standard,No
